"RelativePath","SizeBytes","LastWriteTime"
"config\tts_state.json","1438","2026-04-28 16:41:57"
"docs\Backend_Systemuebersicht_2026-05-03.txt","40408","2026-05-03 16:23:18"
"docs\DASHBOARD_SYSTEMUEBERSICHT_IST_STAND_2026-05-03.txt","33567","2026-05-03 16:30:21"
"docs\ForrestCGN_Datenbank_Uebersicht_app_sqlite_2026-05-03.txt","95995","2026-05-03 17:13:57"
"docs\overlay_iststand_analyse.txt","50820","2026-05-03 17:04:26"
"docs\SYSTEM_INSPEKTION_MASTER_TODO_v1_1_FINAL_GITHUB_2026-05-03.txt","29758","2026-05-03 17:51:30"
